id,parentId,grandparentId,greatgrandparentId
697,517,348,1
698,517,348,1
699,517,348,1
700,517,348,1
701,517,348,1
702,517,348,1
703,349,1,0
704,703,349,1
705,349,1,0
708,349,1,0
711,349,1,0
712,349,1,0
713,349,1,0
714,349,1,0
715,349,1,0
716,349,1,0
717,611,349,1
718,611,349,1
719,611,349,1
720,611,349,1
721,611,349,1
722,611,349,1
723,611,349,1
724,611,349,1
725,611,349,1
726,611,349,1
727,611,349,1
728,611,349,1
729,611,349,1
730,611,349,1
731,611,349,1
732,611,349,1
733,596,349,1
734,596,349,1
735,596,349,1
736,349,1,0
737,515,349,1
738,349,1,0
739,349,1,0
740,349,1,0
741,740,349,1
742,740,349,1
743,740,349,1
744,614,349,1
746,614,349,1
747,614,349,1
748,614,349,1
749,614,349,1
750,614,349,1
754,614,349,1
755,614,349,1
756,614,349,1
757,614,349,1
758,614,349,1
759,614,349,1
760,614,349,1
762,343,1,0
763,762,343,1
764,762,343,1
765,762,343,1
766,762,343,1
767,762,343,1
768,762,343,1
769,762,343,1
770,762,343,1
771,762,343,1
772,762,343,1
773,343,1,0
774,343,1,0
775,343,1,0
776,343,1,0
777,343,1,0
778,343,1,0
779,343,1,0
780,343,1,0
781,343,1,0
782,343,1,0
783,343,1,0
784,343,1,0
785,343,1,0
786,343,1,0
787,343,1,0
788,660,343,1
789,660,343,1
790,660,343,1
791,660,343,1
792,660,343,1
793,660,343,1
794,777,343,1
795,777,343,1
796,777,343,1
797,777,343,1
798,777,343,1
799,777,343,1
800,344,1,0
801,349,1,0
802,344,1,0
803,344,1,0
804,344,1,0
805,344,1,0
806,344,1,0
807,344,1,0
808,344,1,0
809,344,1,0
810,344,1,0
811,778,343,1
812,778,343,1
813,663,343,1
814,661,343,1
815,778,343,1
816,773,343,1
817,785,343,1
818,802,344,1
819,806,344,1
820,806,344,1
821,773,343,1
822,346,1,0
823,822,346,1
824,349,1,0
825,1,0,-1
826,825,1,0
827,344,1,0
828,346,1,0
829,828,346,1
830,828,346,1
831,828,346,1
832,828,346,1
833,828,346,1
834,828,346,1
835,828,346,1
836,828,346,1
837,828,346,1
838,828,346,1
839,822,346,1
840,822,346,1
841,822,346,1
842,822,346,1
843,822,346,1
844,822,346,1
845,822,346,1
846,822,346,1
847,822,346,1
848,822,346,1
849,822,346,1
850,822,346,1
851,828,346,1
852,1,0,-1
853,828,346,1
854,828,346,1
856,332,1,0
857,332,1,0
858,332,1,0
862,332,1,0
863,332,1,0
